id,date,amount,memo,account
57,8/25/2020,451.24,Thoughtbridge,FR16 1651 6179 57J5 G0MT HMEH B74
58,11/18/2020,-915.97,Shufflester,CY14 1037 1709 3OXP RVP4 AJUV M4HR
59,10/4/2020,436.42,Avavee,GI48 CCVB PY8B CC47 BUAP DBN
60,11/9/2019,967.48,Lajo,MU23 VFDZ 8505 8522 2428 6255 902N BE
61,3/24/2020,-477.36,Centidel,FR25 6080 0764 87NH 8SXS 84W2 Q94
62,1/10/2020,-435.03,Skippad,CZ14 5327 1317 1565 7062 0603
63,1/14/2020,511.61,Mynte,MR87 9027 7785 2672 2928 5836 857
64,6/18/2020,-322.61,Trunyx,ME22 2149 0682 4758 8623 75
65,4/24/2020,199.7,Jaxspan,FR26 4391 6520 68NC WXWI AULB 151
66,2/9/2020,114.16,Twitterbeat,KZ75 4103 KDOL UORN XYL4
67,5/29/2021,173.92,Rhyzio,ME21 6935 4909 0877 7886 69
68,4/11/2020,374.93,Kwimbee,KZ19 398F GUFK 7C5Q TWWC
69,6/11/2020,37.29,Devify,NO86 1384 5771 023
70,10/1/2020,-685.24,Quatz,AD80 5798 3131 RGNS 8TBL HWRH
71,1/24/2020,-864.02,Skalith,AZ10 BXFC ASLV XLFT IE3N E54D JICZ
72,4/11/2020,-237.66,Fivebridge,FR85 0773 4164 01C2 SMDH KLZ4 I05
73,8/16/2020,-119.95,Rhyzio,MK68 319Q A9UE FEQV R89
74,11/27/2019,344.02,Zoomzone,CY59 7752 6263 DTDN 7ZM1 ULRU ECF4
75,11/8/2020,671.62,Flashspan,AD73 6058 0458 TNEV 9NP1 SIWF
76,6/25/2020,937.54,Kimia,SA24 28ZO RKVF ZAND JRBF TGDG
77,10/8/2020,-368.27,Skyvu,FR39 9990 2156 74FU NMBG P4CI L95
78,10/31/2020,-515.21,Wordware,IT42 O901 4268 782Y LKA2 AJPG WQR
79,2/20/2020,-491.86,Edgepulse,FR28 6190 5002 00XE OBIX 2DJU T58
80,2/20/2021,-178.8,Layo,PS40 ADRK SIDM LVDU MWGO 86GO BGZ4 2
81,6/15/2020,-915.98,Shuffletag,GI17 DFKT ZIUY SVWY GNRS BYW
82,2/15/2021,-170.77,Skiba,SA34 11TS DBGF ZUSE QV2P 0GEC
83,12/14/2020,-335.6,Ailane,GT39 6YLQ PGWI EX4B HLHA U7LR GPEL
84,8/25/2020,94.65,Skyvu,ES28 3271 6242 1145 0322 8608
85,6/22/2021,911.56,Chatterpoint,FR98 8195 1573 23CQ IIYB OXZL R10
86,11/27/2020,-360.8,Mymm,AL24 5445 6996 2IJO FXQJ QGIS BKZ7
87,12/13/2020,18.7,Avaveo,MT26 ZILS 3704 34BL WI36 WJUR CTZG BA6
88,4/15/2021,826.11,Buzzbean,FR96 2734 3681 63W7 PODF MCTQ Z09
89,6/4/2020,794.61,Devpulse,FO65 3239 9491 1600 20
90,7/1/2021,-805.97,Flipbug,AZ66 AJSK YWN6 IDKL PQKM VLNS LOCH
91,2/21/2021,629.08,Rhyloo,AD55 4136 3545 DMZO BWCN XORN
92,8/8/2021,581.52,Skalith,IT59 D531 8556 099L XK0I WPH4 AXM
93,3/31/2020,814.59,Fivespan,BH96 ZFIX 0CVH 3DZF CF1S TJ
94,2/9/2021,948.56,Eadel,LB64 4895 ZQNB MIOO KRU2 RWJG 2KHV
95,4/20/2021,408.43,Zoomdog,LU24 276F QGHR LGJX O77P
96,7/12/2020,-339.63,Bubblemix,LV69 MXPV RWYJ CLZC MNDQ O
97,10/23/2020,-420.22,Eamia,DK48 0906 0501 0346 59
98,7/30/2021,26.5,Photobug,RO59 KYCD SN6D KSYO OAPA Z8BF
99,3/30/2020,996.71,Centidel,MC38 1180 5428 35BJ 4IN7 AMFU J66
100,12/23/2019,171.23,Skiba,MT17 STUZ 3698 9JIL GAAY DLPZ OTCJ BWW
